Exceedence,Apr,May,Jun,Jul,Aug,Sep,Oct
0.1,8.1,8.4,7.3,7.1,6.4,5.6,5.6
1,8.1,8.4,7.3,7.1,6.4,5.6,5.6
5,8.1,8.4,7.3,7.1,6.4,5.6,5.6
10,8.1,8.4,7.3,7.1,6.4,5.6,5.6
15,5.8,6,5.3,5.1,4.6,4.1,4.1
20,5.8,6,5.3,5.1,4.6,4.1,4.1
30,4.8,4.7,4.2,4,3.6,3.2,3.2
40,4.4,4,3.4,3.3,2.9,2.5,2.4
50,3.2,3,2.7,2.5,2.2,1.8,1.7
60,2.1,2.1,1.9,1.7,1.5,1.3,1.3
70,1.4,1.4,1.2,1.2,1.1,0.9,0.9
80,0.8,0.8,0.8,0.8,0.7,0.7,0.7
85,0.5,0.5,0.5,0.5,0.5,0.5,0.5
90,0.5,0.5,0.5,0.5,0.5,0.5,0.5
95,0.5,0.4,0.4,0.4,0.4,0.4,0.4
99,0.5,0.4,0.4,0.4,0.4,0.4,0.4
99.9,0.5,0.4,0.4,0.4,0.4,0.4,0.4
