Year,Apr,May,Jun,Jul,Aug,Sep,Oct
1920,35.3433642,13.78434886,9.259259259,6.690561529,5.488351254,4.787808642,7.52688172
1921,8.699845679,6.022252091,5.038580247,4.013590203,3.856780167,3.487654321,4.902180406
1922,21.67824074,9.509408602,6.701388889,5.521953405,4.775238949,4.012345679,3.490890084
1923,31.57407407,9.655017921,6.624228395,5.103793309,4.823775388,4.710648148,3.087664277
1924,140.1080247,21.875,11.43518519,7.844235364,6.320937873,6.06867284,5.05525687
1925,8.479938272,5.697431302,4.664351852,4.846176822,4.659498208,3.892746914,5.31660693
1926,5.462962963,4.510155317,3.796296296,3.319145759,3.005525687,2.56558642,2.822580645
1927,6.94058642,6.115591398,5.096450617,4.274940263,3.886648746,3.30632716,6.20146356
1928,22.77777778,9.7520908,6.832561728,5.760902031,5.00672043,4.313271605,2.803912784
1929,20.27391975,12.61200717,7.912808642,6.485215054,5.395011947,4.726080247,3.946385902
1930,13.66512346,10.31586022,7.133487654,6.981780167,6.190262843,5.015432099,3.573028674
1931,8.973765432,7.579151732,6.350308642,4.834976105,3.897849462,3.217592593,3.909050179
1932,6.882716049,5.208333333,4.290123457,3.513291517,3.009259259,2.5,2.639635603
1933,14.03935185,9.938769415,7.31095679,5.95504779,5.017921147,4.320987654,1.960125448
1934,5.844907407,5.417413381,4.930555556,4.032258065,3.315412186,2.835648148,3.823178017
1935,10.9837963,7.986111111,6.543209877,5.551821983,4.790173238,4.737654321,2.35588411
1936,17.7662037,7.877837515,6.18441358,5.129928315,4.603494624,4.390432099,4.45041816
1937,23.28703704,18.04808841,8.402777778,5.876642772,4.764038232,4.926697531,3.733572282
1938,24.58719136,10.00970729,8.140432099,8.295997611,7.605286738,7.457561728,8.486409797
1939,15.35493827,9.516875747,8.449074074,7.048984468,5.738500597,5.659722222,6.328405018
1940,7.403549383,6.660692951,4.988425926,3.733572282,3.136200717,2.608024691,4.946983274
1941,20.93364198,7.933841099,6.300154321,5.223267622,4.633363202,5.12345679,2.292413381
1942,25.3279321,18.40277778,9.305555556,7.399940263,7.847968937,7.299382716,5.036589008
1943,12.1720679,6.384408602,5.68287037,4.868578256,4.002389486,3.310185185,5.286738351
1944,15.6095679,8.318399044,5.779320988,4.640830346,3.901583035,3.206018519,4.330943847
1945,13.28703704,7.388739546,5.960648148,4.846176822,4.054659498,3.325617284,3.38635006
1946,7.735339506,6.111857826,4.861111111,3.927718041,3.229540024,2.766203704,2.654569892
1947,60.87191358,10.87962963,6.890432099,5.473416965,4.648297491,3.99691358,2.609767025
1948,7.881944444,6.365740741,6.018518519,5.096326165,4.159199522,3.564814815,4.543757467
1949,15.3742284,11.93249701,8.468364198,6.306003584,5.339008363,4.544753086,2.86364994
1950,7.901234568,8.486409797,7.87037037,5.570489845,4.737903226,4.525462963,3.431152927
1951,5.046296296,4.330943847,3.888888889,3.655167264,3.274342891,2.654320988,4.913381123
1952,15.93364198,10.3046595,7.125771605,6.022252091,5.305406213,4.575617284,2.240143369
1953,13.17515432,10.27105735,6.975308642,5.443548387,4.980585424,4.398148148,3.767174432
1954,21.5316358,13.34005376,8.93904321,7.556750299,6.152927121,5.127314815,4.289874552
1955,22.91280864,9.63635006,7.611882716,6.261200717,5.275537634,5.389660494,4.894713262
1956,11.79783951,8.322132616,6.601080247,6.406810036,6.179062127,5.439814815,4.696833931
1957,8.506944444,6.492682198,5.462962963,4.484020311,3.737305854,4.097222222,6.134259259
1958,7.627314815,5.596624851,4.807098765,4.207735962,3.629032258,3.113425926,4.174133811
1959,10.20447531,7.579151732,6.481481481,5.256869773,4.304808841,3.838734568,2.900985663
1960,20.30092593,13.42219235,8.703703704,7.463410992,6.556152927,5.883487654,3.139934289
1961,5.972222222,5.395011947,4.471450617,3.363948626,2.770310633,2.287808642,4.790173238
1962,5.570987654,5.454749104,5.891203704,5.402479092,4.413082437,3.452932099,1.71744325
1963,4.382716049,3.692502987,3.117283951,2.512694146,2.098267622,1.782407407,2.889784946
1964,6.755401235,5.469683393,4.699074074,3.86051374,3.300477897,3.152006173,2.449223417
1965,7.067901235,4.551224612,3.942901235,3.270609319,2.83004779,2.654320988,2.594832736
1966,20.23148148,15.56526284,8.37962963,6.29853644,5.275537634,4.347993827,2.893518519
1967,5.644290123,5.469683393,5.212191358,4.181600956,3.434886499,2.793209877,3.774641577
1968,26.70138889,9.132317802,6.612654321,5.465949821,4.625896057,4.077932099,2.30734767
1969,4.448302469,3.76344086,3.422067901,3.035394265,2.598566308,2.191358025,5.521953405
1970,7.847222222,7.351403823,5.810185185,4.334677419,3.535692951,3.05941358,2.0609319
1971,40.94135802,11.42846476,8.406635802,6.328405018,5.387544803,4.610339506,3.882915173
1972,7.12962963,6.253733572,4.938271605,4.151732378,3.617831541,6.06095679,4.513888889
1973,19.01234568,10.10304659,7.384259259,6.451612903,5.716099164,6.172839506,7.228195938
1974,14.78009259,9.106182796,7.696759259,6.063321386,5.100059737,4.363425926,5.30167264
1975,38.53395062,12.5672043,10.63271605,7.515681004,5.98864994,4.953703704,3.479689367
1976,35.16203704,13.79554958,8.163580247,6.130525687,5.178464755,5.516975309,4.274940263
1977,24.97685185,9.475806452,6.74382716,5.495818399,4.670698925,4.101080247,4.95818399
1978,7.916666667,6.533751493,5.300925926,4.170400239,4.823775388,4.618055556,3.587962963
1979,12.19521605,7.146057348,5.929783951,4.857377539,4.413082437,5.027006173,4.786439665
1980,16.18441358,8.781362007,6.990740741,5.633960573,5.156063321,4.764660494,4.991786141
1981,4.799382716,4.920848268,4.371141975,3.509557945,2.949522103,2.546296296,4.357078853
1982,3.908179012,3.04286141,2.665895062,2.266278375,2.296146953,2.079475309,2.497759857
1983,7.114197531,5.671296296,4.320987654,5.421146953,5.820639188,4.756944444,2.232676225
1984,9.656635802,6.783900836,6.712962963,5.697431302,4.734169654,4.62962963,6.571087216
1985,18.76929012,17.16323178,8.607253086,5.518219833,4.722968937,4.085648148,4.939516129
1986,8.765432099,5.794504182,5.146604938,4.140531661,3.793309438,4.471450617,3.793309438
