Year,Apr,May,Jun,Jul,Aug,Sep,Oct
1920,13.00540123,2.759109916,1.188271605,0.224014337,0.04853644,0.054012346,0.007467145
1921,1.234567901,0.369623656,0.054012346,0.843787336,0.052270012,0.050154321,0.052270012
1922,10.15046296,3.184737157,1.581790123,2.105734767,0.059737157,0.05787037,0.04853644
1923,13.63811728,3.102598566,1.331018519,1.818249701,0.044802867,0.042438272,0.056003584
1924,101.3194444,9.763291517,4.170524691,3.759707288,0.063470729,0.06558642,0.041069295
1925,2.334104938,0.89979092,0.177469136,2.385752688,0.063470729,0.06558642,0.063470729
1926,0.05787037,0.052270012,0.054012346,0.04853644,0.044802867,0.046296296,0.063470729
1927,0.432098765,0.052270012,0.030864198,0.029868578,0.029868578,0.027006173,0.541367981
1928,5.536265432,1.635304659,0.625,0.026135006,0.026135006,0.027006173,0.026135006
1929,8.348765432,2.471624851,0.833333333,0.029868578,0.029868578,0.030864198,0.026135006
1930,5.540123457,2.049731183,0.837191358,1.052867384,0.04853644,0.050154321,0.033602151
1931,0.25462963,0.369623656,0.050154321,0.04853644,0.044802867,0.046296296,0.04853644
1932,0.046296296,0.041069295,0.042438272,0.041069295,0.037335723,0.038580247,0.044802867
1933,4.915123457,1.989994026,0.794753086,0.037335723,0.037335723,0.038580247,0.037335723
1934,0.038580247,0.037335723,0.038580247,0.037335723,0.033602151,0.034722222,0.037335723
1935,2.202932099,1.444892473,0.358796296,0.029868578,0.029868578,0.030864198,0.033602151
1936,4.915123457,1.915322581,0.929783951,1.732377539,0.044802867,0.046296296,0.029868578
1937,9.826388889,4.872311828,1.759259259,0.044802867,0.044802867,0.046296296,0.044802867
1938,9.726080247,4.334677419,2.893518519,4.610961768,0.067204301,0.06558642,0.798984468
1939,7.885802469,3.490890084,3.769290123,2.900985663,0.063470729,0.06558642,0.160543608
1940,2.05632716,0.160543608,0.061728395,0.078405018,0.056003584,0.05787037,0.063470729
1941,10.92592593,1.62037037,0.706018519,0.059737157,0.056003584,0.05787037,0.052270012
1942,8.93904321,6.03718638,1.030092593,1.269414576,0.052270012,0.054012346,0.056003584
1943,2.932098765,0.98192951,1.064814815,0.04853644,0.04853644,0.046296296,0.052270012
1944,1.292438272,0.433094385,0.038580247,0.033602151,0.033602151,0.034722222,0.044802867
1945,3.680555556,1.344086022,0.570987654,1.284348865,0.033602151,0.030864198,0.029868578
1946,0.883487654,0.205346476,0.030864198,0.029868578,0.029868578,0.027006173,0.029868578
1947,58.86574074,3.341547192,1.49691358,1.926523297,0.037335723,0.038580247,0.026135006
1948,1.018518519,0.489097969,0.162037037,0.037335723,0.037335723,0.038580247,0.037335723
1949,3.433641975,2.635902031,0.75617284,0.037335723,0.033602151,0.034722222,0.037335723
1950,0.976080247,2.583632019,0.347222222,0.026135006,0.026135006,0.027006173,0.033602151
1951,0.023148148,0.022401434,0.023148148,0.022401434,0.022401434,0.023148148,0.026135006
1952,8.645833333,3.685035842,1.905864198,2.352150538,0.033602151,0.034722222,0.022401434
1953,4.699074074,1.907855436,0.597993827,0.037335723,0.037335723,0.038580247,0.033602151
1954,12.04861111,4.786439665,3.198302469,2.938321386,0.041069295,0.042438272,0.041069295
1955,9.6875,3.625298686,2.411265432,2.508960573,0.04853644,0.050154321,0.041069295
1956,4.695216049,2.452956989,1.608796296,2.822580645,0.04853644,0.050154321,0.04853644
